år;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1;10658;11134;11453;12182;12715;13138;13111;13827;14234;14473;14824;15299;14780;14818;15299;15321;15406;15255;14767;14890
2;10648;10567;11034;11338;12087;12636;13151;13123;13826;14332;14597;14884;15377;14862;14830;15328;15273;15470;15360;14783
3;10512;10567;10489;10960;11231;12008;12619;13169;13154;13909;14350;14637;14883;15432;14868;14892;15366;15373;15477;15382
4;10818;10499;10539;10450;10904;11170;12021;12630;13205;13190;13927;14399;14659;14875;15480;14911;14948;15395;15470;15508
5;11574;10788;10438;10512;10378;10877;11163;12052;12665;13258;13276;14015;14434;14700;14894;15496;14955;15011;15485;15566
6;12548;11555;10740;10370;10478;10390;10915;11242;12073;12706;13307;13328;14096;14444;14793;14920;15533;15042;15068;15530
7;12563;12516;11530;10686;10311;10441;10393;10961;11322;12164;12769;13358;13389;14144;14507;14848;14979;15673;15158;15208
8;12932;12522;12478;11524;10676;10312;10464;10455;11023;11398;12221;12857;13430;13473;14194;14550;14918;15094;15758;15251
9;12658;12915;12476;12448;11478;10654;10376;10529;10526;11153;11496;12294;12962;13501;13535;14207;14639;15073;15162;15856
10;12716;12634;12919;12486;12398;11465;10677;10470;10599;10611;11230;11587;12364;13056;13580;13604;14291;14761;15214;15255
11;11949;12729;12620;12898;12469;12426;11542;10766;10549;10723;10713;11307;11676;12484;13123;13626;13694;14459;14855;15348
12;11508;11942;12724;12590;12885;12490;12507;11623;10838;10647;10800;10809;11393;11785;12569;13216;13729;13815;14589;15001
13;10714;11577;11958;12714;12601;12904;12575;12581;11704;10967;10735;10910;10934;11536;11907;12672;13364;13866;13959;14721
14;10397;10752;11586;11981;12733;12633;12999;12663;12690;11817;11060;10886;11073;11077;11685;12043;12804;13504;14030;14079
15;9804;10449;10782;11615;12027;12770;12746;13101;12769;12824;11958;11198;11065;11219;11232;11870;12223;12996;13622;14131
16;9598;9878;10506;10830;11651;12096;12892;12936;13236;12987;12999;12151;11469;11287;11450;11504;12187;12557;13201;13756
17;9277;9692;9953;10566;10901;11709;12234;13091;13112;13395;13170;13224;12334;11659;11505;11736;11862;12667;12736;13335
18;9551;9344;9760;10020;10637;10963;11811;12410;13216;13258;13594;13346;13398;12543;11851;11746;12091;12686;13012;12904
19;9695;9723;9458;9835;10142;10753;11116;11991;12516;13323;13383;13642;13408;13514;12604;11927;11868;12231;13311;13126
20;10267;9881;9867;9562;9926;10180;10989;11336;12103;12717;13391;13462;13698;13446;13465;12655;12004;11896;12272;13538
21;10004;10426;9953;9965;9616;9979;10465;11271;11528;12299;12910;13586;13550;13702;13619;13555;12843;12112;11958;12221
22;9874;10338;10665;10191;10141;9850;10433;10995;11680;11997;12758;13390;13941;13908;14178;13950;14100;13351;12478;12304
23;10646;10321;10683;11047;10576;10627;10528;11189;11575;12407;12806;13465;14007;14577;14596;14873;14665;14777;13987;12979
24;11702;11257;10759;11055;11463;11090;11496;11427;12014;12500;13261;13553;14378;14909;15482;15477;15728;15606;15644;14831
25;12830;12417;11752;11256;11566;12158;12038;12519;12361;12981;13609;14288;14597;15345;15896;16504;16632;16812;16568;16585
26;14468;13605;12952;12169;11806;12270;13293;13164;13472;13415;14048;14646;15189;15542;16272;16898;17699;17801;17835;17510
27;14897;15109;13984;13293;12565;12436;13236;14342;14146;14388;14350;15077;15512;16046;16404;17199;18021;18679;18782;18693
28;15629;15313;15360;14258;13585;13071;13169;14081;15107;14898;15150;15199;15822;16241;16802;17070;18012;18880;19489;19553
29;15701;15982;15592;15499;14498;13906;13649;13802;14693;15800;15494;15844;15773;16417;16839;17401;17689;18744;19524;20150
30;14935;15976;16114;15679;15563;14748;14340;14222;14321;15210;16325;16083;16362;16261;16876;17303;17989;18321;19375;20038
31;14581;15139;16092;16184;15766;15764;15077;14771;14599;14748;15637;16814;16534;16718;16598;17220;17795;18496;18788;19795
32;14871;14730;15189;16091;16114;15838;16098;15341;15138;14973;15073;16080;17158;16867;17057;16897;17691;18221;18900;19086
33;15888;14932;14737;15134;15965;16181;16021;16340;15519;15457;15241;15370;16379;17382;17045;17307;17240;18018;18553;19176
34;16275;15938;14951;14689;15067;15976;16307;16176;16512;15754;15668;15529;15585;16579;17544;17153;17581;17600;18343;18776
35;16408;16298;15958;14853;14612;15062;16030;16439;16338;16743;15931;15905;15740;15785;16706;17715;17346;17852;17839;18482
